000000.png: [0.5214500094539749, -0.853281833651959]
000010.png: [0.6459422414661737, -0.7633862853691145]
000020.png: [0.42993358039234775, -0.9028605188239303]
000030.png: [0.09950371902099892, -0.9950371902099892]
000040.png: [-0.5692099788303083, -0.8221921916437787]
000050.png: [0.0, -1.0]
000060.png: [0.1168412475673972, -0.9931506043228762]
000070.png: [0.6, -0.8]
000080.png: [-0.5812381937190965, -0.813733471206735]
000090.png: [0.3511234415883917, -0.9363291775690445]
000100.png: [-0.5144957554275266, -0.8574929257125442]
000110.png: [-0.5144957554275266, -0.8574929257125442]
000120.png: [-0.46788772041903276, -0.8837879163470619]
000130.png: [0.045407660918649985, -0.9989685402102997]
000140.png: [0.0, -1.0]
000150.png: [0.6, -0.8]
000160.png: [-0.5881716976750462, -0.8087360843031884]
000170.png: [-0.39391929857916763, -0.9191450300180578]
000180.png: [-0.19611613513818402, -0.9805806756909201]
000190.png: [0.0, -1.0]
000200.png: [0.4472135954999579, -0.8944271909999159]
000210.png: [-0.11043152607484653, -0.9938837346736188]
000220.png: [0.3713906763541038, -0.9284766908852594]
000230.png: [0.25766265056033233, -0.9662349396012463]
000240.png: [0.6, -0.8]
000250.png: [0.19611613513818404, -0.9805806756909202]
000260.png: [-0.1643989873053573, -0.9863939238321437]
000270.png: [-0.6, -0.8]
000280.png: [0.49613893835683387, -0.8682431421244593]
000290.png: [-0.09053574604251853, -0.9958932064677039]
000300.png: [-0.49613893835683387, -0.8682431421244593]
000310.png: [0.05547001962252291, -0.9984603532054125]
000320.png: [-0.1900219065658609, -0.9817798505902814]
000330.png: [-0.06651901052377393, -0.9977851578566089]
000340.png: [0.052558833122763673, -0.9986178293325098]
000350.png: [-0.3643993485805122, -0.9312427797057534]
000360.png: [-0.1757906384836575, -0.984427575508482]
000370.png: [0.05547001962252291, -0.9984603532054125]
000380.png: [0.5734623443633283, -0.8192319205190405]
000390.png: [0.7432941462471664, -0.6689647316224497]
000400.png: [0.0, -1.0]
000410.png: [0.04993761694389223, -0.9987523388778445]
000420.png: [-0.39391929857916763, -0.9191450300180578]
000430.png: [0.24253562503633297, -0.9701425001453319]
000440.png: [0.04993761694389223, -0.9987523388778445]
000450.png: [-0.3511234415883917, -0.9363291775690445]
000460.png: [0.0, -1.0]
000470.png: [0.24253562503633297, -0.9701425001453319]
000480.png: [-0.10653312363426524, -0.994309153919809]
000490.png: [0.21693045781865616, -0.9761870601839528]
000500.png: [-0.13663739713703102, -0.9906211292434748]
000510.png: [0.17378533390904768, -0.9847835588179369]
000520.png: [0.4472135954999579, -0.8944271909999159]
000530.png: [0.12797133763019677, -0.9917778666340251]
000540.png: [-0.27472112789737807, -0.9615239476408232]
000550.png: [-0.20952908873087345, -0.9778024140774094]
000560.png: [0.058722021951470346, -0.9982743731749958]
000570.png: [0.42993358039234775, -0.9028605188239303]
000580.png: [0.3786328457205041, -0.9255469562056767]
000590.png: [0.0, -1.0]
000600.png: [-0.3643993485805122, -0.9312427797057534]
000610.png: [-0.4472135954999579, -0.8944271909999159]
000620.png: [0.0, -1.0]
000630.png: [-0.7071067811865476, -0.7071067811865476]
000640.png: [-0.40613846605344767, -0.9138115486202573]
000650.png: [-0.7071067811865476, -0.7071067811865476]
000660.png: [0.4472135954999579, -0.8944271909999159]
000670.png: [0.7371541402007414, -0.6757246285173463]
000680.png: [-0.7682212795973759, -0.6401843996644799]
000690.png: [0.7071067811865475, -0.7071067811865475]
000700.png: [-0.6332377902572627, -0.773957299203321]
000710.png: [0.6757246285173463, -0.7371541402007414]
000720.png: [-0.2873478855663454, -0.9578262852211513]
000730.png: [0.7592566023652966, -0.6507913734559685]
000740.png: [0.0, -1.0]
000750.png: [0.7071067811865475, -0.7071067811865475]
000760.png: [0.0, -1.0]
000770.png: [-0.26592899812581344, -0.9639926182060737]
000780.png: [0.42993358039234775, -0.9028605188239303]
000790.png: [-0.2202608714346434, -0.9754410020677065]
000800.png: [-0.2544932992796438, -0.9670745372626465]
000810.png: [0.3643993485805122, -0.9312427797057534]
000820.png: [0.682318250360011, -0.7310552682428689]
000830.png: [-0.3363363969981562, -0.9417419115948374]
000840.png: [0.5144957554275266, -0.8574929257125442]
000850.png: [-0.06438227799796505, -0.9979253089684582]
000860.png: [0.0, -1.0]
000870.png: [-0.3786328457205041, -0.9255469562056767]
000880.png: [0.13216372009101796, -0.9912279006826347]
000890.png: [0.0, -1.0]
000900.png: [-0.5214500094539749, -0.853281833651959]
000910.png: [-0.6, -0.8]
000920.png: [-0.13216372009101796, -0.9912279006826347]
000930.png: [-0.5734623443633283, -0.8192319205190405]
000940.png: [-0.5665288228870652, -0.8240419241993676]
000950.png: [-0.5407575913134987, -0.8411784753765535]
